"PharmacyName","CompanyName","StartDate","EndDate","Content","Supervisor"
"CityMeds","MedLife","2025-01-01","2026-01-01","Supply of Paracet, Lipitor","Mr. Verma"
"HealthStore","HealthPlus","2025-02-15","2026-02-15","Supply of Amoxil, Dermasol","Ms. Rao"
"WellnessPharma","BioGenix","2025-03-10","2026-03-10","Supply of Neurozol","Dr. Sen"
"MedicoPlus","CureWell","2025-04-01","2026-04-01","Supply of CardioPlus","Mr. Rathi"
"CureMart","LifeMed","2025-05-01","2026-05-01","Supply of NeuroMax","Ms. Jain"
"PharmaWorld","PharmaCare","2025-06-01","2026-06-01","Supply of HepaCure","Mr. Singh"
"LifeCare","MediCure","2025-07-01","2026-07-01","Supply of OsteoAid","Ms. Kapoor"
"GoodHealthRx","HealAll","2025-08-01","2026-08-01","Supply of VitaBoost","Mr. Kumar"
"TrustPharmacy","GoodHealth","2025-09-01","2026-09-01","Supply of AllerFree","Ms. Sinha"
"PureMeds","VitaGen","2025-10-01","2026-10-01","Supply of CoughNil","Dr. Rao"
"ZenithDrugs","BioHealth","2025-11-01","2026-11-01","Supply of PainAway","Mr. Mehta"
"HealWell","NutriPharm","2025-12-01","2026-12-01","Supply of GastroFix","Ms. Bhatt"
"MediHub","PureMeds","2025-01-15","2026-01-15","Supply of RenalCare","Mr. Das"
"HealthPoint","SafeDrugs","2025-02-20","2026-02-20","Supply of Neurozol","Ms. Lal"
"QuickMeds","ZenithMeds","2025-03-25","2026-03-25","Supply of CardioPlus","Dr. Nair"
