"TradeName","Formula","CompanyName"
"Paracet","C8H9NO2","MedLife"
"Amoxil","C16H19N3O5S","HealthPlus"
"Lipitor","C33H35FN2O5","MedLife"
"Neurozol","C17H19NO3","BioGenix"
"Dermasol","C21H30O2","HealthPlus"
"CardioPlus","C20H25N3O","MedLife"
"NeuroMax","C19H21NO4","BioGenix"
"HepaCure","C22H27NO4","HealthPlus"
"OsteoAid","C18H21NO3","MedLife"
"VitaBoost","C15H23NO2","BioGenix"
"AllerFree","C16H19NO2","HealthPlus"
"CoughNil","C14H18N2O4","MedLife"
"PainAway","C13H17NO2","BioGenix"
"GastroFix","C21H29NO3","HealthPlus"
"RenalCare","C23H27NO5","MedLife"
"ImmunoTab","C12H15NO2","BioGenix"
"HepaGuard","C22H28NO4","HealthPlus"
"OsteoMax","C18H22NO3","MedLife"
"VitaPlus","C15H24NO2","BioGenix"
"AllerStop","C16H20NO2","HealthPlus"
"CoughFree","C14H19N2O4","MedLife"
"PainRelief","C13H18NO2","BioGenix"
"GastroAid","C21H30NO3","HealthPlus"
"RenalPlus","C23H28NO5","MedLife"
"ImmunoBoost","C12H16NO2","BioGenix"
"HepaPlus","C22H29NO4","HealthPlus"
"OsteoCare","C18H23NO3","MedLife"
"VitaCare","C15H25NO2","BioGenix"
"AllerCare","C16H21NO2","HealthPlus"
"CoughCare","C14H20N2O4","MedLife"
"PainEase","C13H19NO2","BioGenix"
"GastroPlus","C21H31NO3","HealthPlus"
"RenalGuard","C23H29NO5","MedLife"
"ImmunoCare","C12H17NO2","BioGenix"
"HepaAid","C22H30NO4","HealthPlus"
"OsteoGuard","C18H24NO3","MedLife"
"VitaGuard","C15H26NO2","BioGenix"
"AllerGuard","C16H22NO2","HealthPlus"
"CoughGuard","C14H21N2O4","MedLife"
"PainGuard","C13H20NO2","BioGenix"
"GastroGuard","C21H32NO3","HealthPlus"
"RenalAid","C23H30NO5","MedLife"
"ImmunoAid","C12H18NO2","BioGenix"
"HepaRelief","C22H31NO4","HealthPlus"
"OsteoRelief","C18H25NO3","MedLife"
"VitaRelief","C15H27NO2","BioGenix"
"AllerRelief","C16H23NO2","HealthPlus"
"CoughRelief","C14H22N2O4","MedLife"
"PainStop","C13H21NO2","BioGenix"
"GastroRelief","C21H33NO3","HealthPlus"
