"CompanyName","Phone"
"MedLife","0112345678"
"HealthPlus","0228765432"
"BioGenix","0331234987"
"CureWell","0445678123"
"LifeMed","0558765432"
"PharmaCare","0662345678"
"MediCure","0779876543"
"HealAll","0881234987"
"GoodHealth","0995678123"
"VitaGen","0108765432"
"BioHealth","0112345679"
"NutriPharm","0128765433"
"PureMeds","0132345679"
"SafeDrugs","0149876544"
"ZenithMeds","0151234988"
"MedicoGen","0162345678"
"PharmaPlus","0178765432"
"CureGenix","0181234987"
"LifeGen","0195678123"
"HealthMed","0208765432"
"BioPlus","0212345679"
"NutriGen","0228765433"
"PureLife","0232345679"
"SafeGen","0249876544"
"ZenithCare","0251234988"
"MedHealth","0262345678"
"PharmaLife","0278765432"
"CurePlus","0281234987"
"LifeCare","0295678123"
"HealthGen","0308765432"
"BioCare","0312345679"
"NutriLife","0328765433"
"PureGenix","0332345679"
"SafeLife","0349876544"
"ZenithHealth","0351234988"
"MedPlus","0362345678"
"PharmaGenix","0378765432"
"CureHealth","0381234987"
"LifePharma","0395678123"
"HealthCare","0408765432"
"BioGen","0412345679"
"NutriCare","0428765433"
"PureCare","0432345679"
"SafeCare","0449876544"
"ZenithGenix","0451234988"
"MedGenix","0462345678"
"PharmaGen","0478765432"
"CureLife","0481234987"
"LifeGenix","0495678123"
