"PharmacyName","Address","Phone"
"CityMeds","1 Main St, Delhi","0111122334"
"HealthStore","20 Market Rd, Mumbai","0223344556"
"WellnessPharma","55 Green Ave, Kolkata","0334455667"
"MedicoPlus","14 Park Ave, Bangalore","0445566778"
"CureMart","23 Hill Rd, Pune","0556677889"
"PharmaWorld","7 Lake View, Hyderabad","0667788990"
"LifeCare","12 Rose St, Jaipur","0778899001"
"GoodHealthRx","8 Ocean Dr, Chennai","0889900112"
"TrustPharmacy","3 Lotus Ln, Lucknow","0990011223"
"PureMeds","9 Pine St, Bhopal","0101122334"
"ZenithDrugs","6 Maple Rd, Patna","0112233445"
"HealWell","17 Cedar Ave, Kanpur","0123344556"
"MediHub","21 Ashok Marg, Noida","0134455667"
"HealthPoint","11 Green Park, Chandigarh","0145566778"
"QuickMeds","25 Sector 5, Surat","0156677889"
