"PharmacyName","Address","Phone"
"CityMeds","1 Main St, Delhi","0111122334"
"HealthStore","20 Market Rd, Mumbai","0223344556"
"WellnessPharma","55 Green Ave, Kolkata","0334455667"
"MedicoPlus","14 Park Ave, Bangalore","0445566778"
"CureMart","23 Hill Rd, Pune","0556677889"
"PharmaWorld","7 Lake View, Hyderabad","0667788990"
"LifeCare","12 Rose St, Jaipur","0778899001"
"GoodHealthRx","8 Ocean Dr, Chennai","0889900112"
"TrustPharmacy","3 Lotus Ln, Lucknow","0990011223"
"PureMeds","9 Pine St, Bhopal","0101122334"
"ZenithDrugs","6 Maple Rd, Patna","0112233445"
"HealWell","17 Cedar Ave, Kanpur","0123344556"
"MediHub","21 Ashok Marg, Noida","0134455667"
"HealthPoint","11 Green Park, Chandigarh","0145566778"
"QuickMeds","25 Sector 5, Surat","0156677889"
"MetroPharmacy","2 Hilltop, Bangalore","0167788990"
"FamilyMeds","5 Pine St, Bhopal","0178899001"
"MedExpress","13 Lake View, Hyderabad","0189900112"
"UrbanPharma","8 Lotus Ln, Agra","0190011223"
"LifePlus","10 Park St, Mumbai","0201122334"
"HealthFirst","15 Green Ave, Kolkata","0212233445"
"CityHealth","22 Ocean Dr, Chennai","0223344556"
"MedCity","28 Main St, Delhi","0234455667"
"TrustCare","30 Cedar Ave, Kanpur","0245566778"
"QuickCare","32 Sector 5, Surat","0256677889"
"WellBeingRx","34 Hill Rd, Pune","0267788990"
"MedZone","36 Park Ave, Bangalore","0278899001"
"FamilyCare","38 Rose St, Jaipur","0289900112"
"UrbanMeds","40 Maple Rd, Patna","0290011223"
"LifeHub","42 Ashok Marg, Noida","0301122334"
"HealthPlusRx","44 Pine St, Bhopal","0312233445"
"MetroCare","46 Ocean Dr, Chennai","0323344556"
"MedLink","48 Main St, Delhi","0334455667"
"CityCare","50 Green Ave, Kolkata","0345566778"
"TrustMeds","52 Lotus Ln, Agra","0356677889"
"QuickRx","54 Lake View, Hyderabad","0367788990"
"WellCare","56 Park St, Mumbai","0378899001"
"MedWell","58 Hilltop, Bangalore","0389900112"
"UrbanCare","60 Sector 5, Surat","0390011223"
"FamilyRx","62 Rose St, Jaipur","0401122334"
"LifeExpress","64 Maple Rd, Patna","0412233445"
"HealthZone","66 Ashok Marg, Noida","0423344556"
"MetroRx","68 Pine St, Bhopal","0434455667"
"MedFirst","70 Ocean Dr, Chennai","0445566778"
"CityRx","72 Main St, Delhi","0456677889"
"TrustZone","74 Green Ave, Kolkata","0467788990"
"QuickHealth","76 Lotus Ln, Agra","0478899001"
"WellZone","78 Lake View, Hyderabad","0489900112"
"MedFamily","80 Park Ave, Bangalore","0490011223"
