"PharmacyName","DrugName","DrugPrice"
"CityMeds","Paracet","12.5"
"CityMeds","Lipitor","35.0"
"HealthStore","Amoxil","22.0"
"HealthStore","Dermasol","25.0"
"WellnessPharma","Neurozol","28.0"
"WellnessPharma","Paracet","13.0"
"MedicoPlus","CardioPlus","32.0"
"CureMart","NeuroMax","29.0"
"PharmaWorld","HepaCure","27.5"
"LifeCare","OsteoAid","21.0"
"GoodHealthRx","VitaBoost","19.0"
"TrustPharmacy","AllerFree","18.5"
"PureMeds","CoughNil","16.0"
"ZenithDrugs","PainAway","14.5"
"HealWell","GastroFix","23.0"
"MediHub","RenalCare","24.0"
"HealthPoint","ImmunoTab","17.5"
"QuickMeds","HepaGuard","26.0"
"CityMeds","OsteoMax","22.0"
"HealthStore","VitaPlus","20.0"
"WellnessPharma","AllerStop","18.0"
"MedicoPlus","CoughFree","15.5"
"CureMart","PainRelief","13.5"
"PharmaWorld","GastroAid","24.5"
"LifeCare","RenalPlus","25.0"
"GoodHealthRx","ImmunoBoost","18.0"
"TrustPharmacy","HepaPlus","26.5"
"PureMeds","OsteoCare","21.5"
"ZenithDrugs","VitaCare","19.5"
"HealWell","AllerCare","18.8"
"MediHub","CoughCare","16.2"
"HealthPoint","PainEase","14.0"
"QuickMeds","GastroPlus","23.5"
"CityMeds","RenalGuard","25.5"
"HealthStore","ImmunoCare","17.0"
"WellnessPharma","HepaAid","27.0"
"MedicoPlus","OsteoGuard","22.5"
"CureMart","VitaGuard","20.5"
"PharmaWorld","AllerGuard","19.0"
"LifeCare","CoughGuard","15.8"
"GoodHealthRx","PainGuard","13.8"
"TrustPharmacy","GastroGuard","24.8"
"PureMeds","RenalAid","26.2"
"ZenithDrugs","ImmunoAid","17.2"
"HealWell","HepaRelief","27.2"
"MediHub","OsteoRelief","22.2"
"HealthPoint","VitaRelief","20.2"
"QuickMeds","AllerRelief","19.2"
"CityMeds","CoughRelief","16.5"
"HealthStore","PainStop","14.2"
"WellnessPharma","GastroRelief","23.2"
